Image Name,Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
imagemc/image_1.png,What is the color of the squirrel?,Albino,White,Black,Purple,Albino
imagemc/image_2.png,The ____ of Texas are upon you.,Hands,Legs,Arms,Eyes,Eyes
imagemc/image_3.png,What phrase is the meme talking about?,Texas is best,Texas is back,Texas is normal,Texas is great,Texas is back
imagemc/image_4.png,Who is the President of UT?,Charlie Strong ,Tom Herman,Matthew Mcconaughey,Greg Fenves,Greg Fenves
imagemc/image_5.png,Who is the Quarterback of the UT football team?,Colt McCoy,Vince Young,Sam Ehlinger,Matthew Mcconaughey,Sam Ehlinger
imagemc/image_6.png,What is the name of this meme,Crying Jordan,Sad Bevo,Taking the L,Greg Fenves,Crying Jordan
imagemc/image_7.png,What event is associated with this meme,The drug bust of 2007,Water Crisis 2018,Graduation 2016,Greg Fenves,Water Crisis 2018
imagemc/image_8.png,Complete the phrase,Easy,Breezy,Busy,Cheesy,Busy
imagemc/image_9.png,How would you describe the Registration system at UT,Horrible,Horrible,Horrible,Horrible,Horrible
imagemc/image_10.png,Who is not in this picture,Ryan Gosling,Harrison Ford,Emma Stone,Greg Fenves,Greg Fenves
imagemc/image_11.png,Complete the phrase,Fulfiling Relationship,Smash,Eject,I Give Up,Fulfiling Relationship
imagemc/image_12.png,What store is the meme ralking about,McDonald's,7-11,Buc-ee's,West Campus Market,Buc-ee's
imagemc/image_13.png,Complete the phrase,fofofo,frostie,whopper,big mac,fofofo
imagemc/image_14.png,What school does the sanke represent,Cockrell,McCombs,Natural Sciences,Liberal Arts,McCombs
imagemc/image_15.png,Fill in the blank,Panda Express Tea Bar,Starbucks,Dunkin Donuts,Teji's,Panda Express Tea Bar
imagemc/image_16.png,Fill in the blank,Red,Blue,Yellow,Green,Blue
imagemc/image_17.png,Is Texas Back,Yes,No,For Sure,Maybe,Maybe
imagemc/image_18.png,Complete the phrase,tablers,voter registration,Greg Fenves,teachers,tablers
imagemc/image_19.png,Fill in the blank ,L,T,W,R,W
imagemc/image_20.png,Fill in the blank ,boast,flex,compliment,toast,flex
imagemc/image_21.png,Fill in the blank,Beto,Ted Cruz,Obama,Trump,Ted Cruz
imagemc/image_22.png,Fill in the blank,bus driver,cab driver,conductor,sailor,bus driver
imagemc/image_23.png,Fill in the blank,beer,bottled water,boiled water,juice,bottled water
imagemc/image_24.png,Fill in the blank,plastic water bottle,beer can,soda ,ice cream,plastic water bottle
imagemc/image_25.png,Complete the phrase,bottled water,hot water,cold water,tap water,tap water
imagemc/image_26.png,Fill in the blank,GSB,PCL,UTC,Tower,PCL
imagemc/image_27.png,Fill in the blank,Voted,Finished,Started,Registered,Voted
imagemc/image_28.png,What character is being referenced in the meme,Batman,The Riddler,The Joker,Robin,The Joker
imagemc/image_29.png,Finish the meme,Baguette,Boiled Water,Breakfast Taco,Burnt Orange,Boiled Water
imagemc/image_30.png,Fill in the blank,JCL,PCL,J2,Greg,J2
